# z    he0    he1    he2    he3    he4    he5    he6
9.990000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.980000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.970000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.960000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.950000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.940000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.930000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.920000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.910000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.900000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.890000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.880000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.870000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.860000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.850000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.840000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.830000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.820000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.810000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.800000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.790000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.780000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.770000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.760000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.750000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.740000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.730000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.720000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
