# z    h0he0    h0he1    h0he2    h0he3    h0he4    h0he5    h0he6    h1he0    h1he1    h1he2    h1he3    h1he4    h1he5    h1he6
9.990000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.980000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.970000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.960000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.950000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.940000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.930000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.920000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.910000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.900000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.890000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.880000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
